,GSM4472566,GSM4472567,GSM4472568,GSM4472569,GSM4472570,GSM4472571,GSM4472572,GSM4472573,GSM4472574,GSM4472575,GSM4472576,GSM4472577,GSM4472578,GSM4472579,GSM4472580
Gnai3,4414,5212,5140,6828,5558,4681,5830,6163,6097,3289,3999,5500,4074,4134,5388
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,152,222,151,253,170,156,117,302,143,66,135,191,19,164,174
H19,4,5,8,16,10,90,86,103,11,64,160,11,174,47,21
Scml2,45,52,65,79,56,21,22,72,54,12,24,38,7,20,56
Apoh,5,8,6,8,2,6,11,6,6,11,2,4,3,11,11
Narf,1280,1303,1195,1430,1518,879,1321,1332,1589,1045,992,960,975,1052,1471
Cav2,849,682,714,813,550,471,765,814,538,429,588,640,753,635,803
Klf6,7192,6171,6218,7320,6985,5670,8392,7653,7145,4543,5261,7038,7140,5448,8961
Scmh1,709,869,718,1056,932,788,1176,1065,902,696,764,559,691,979,959
Cox5a,5531,6392,7206,9570,7551,6684,7103,6194,7606,4418,4669,6244,4688,6004,8049
Tbx2,153,241,162,200,233,280,190,232,227,196,240,127,232,216,277
Tbx4,11,14,8,21,11,25,21,28,5,12,19,5,17,13,11
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,185,185,185,249,175,187,250,146,230,174,290,145,254,226,216
Wnt3,1,0,3,1,4,4,3,8,1,0,1,1,4,1,5
Wnt9a,25,18,29,21,26,23,29,46,37,28,47,28,47,45,40
Fer,411,425,428,442,349,300,460,504,507,281,350,390,468,409,453
Xpo6,1042,1358,1173,1538,1368,1010,1303,1522,1455,773,1033,1008,936,1143,1305
Tfe3,744,794,834,1044,807,994,1102,1102,901,719,853,740,1029,864,931
Axin2,1099,1229,1282,1318,1290,363,261,558,1186,244,148,855,121,458,1384
Brat1,362,412,333,411,427,321,348,422,458,295,319,255,285,274,417
Gna12,900,1090,1141,1146,1061,1004,1437,1346,1282,978,1226,1055,1489,1243,1396
Slc22a18,1344,1404,1834,2214,1662,1554,1607,1095,1753,1330,1186,1710,1478,1439,1883
Itgb2l,4,12,7,6,1,6,7,7,3,2,6,1,3,0,2
Igsf5,776,956,941,1304,1108,1277,1430,1316,1262,1031,876,888,1183,1068,1099
Pih1d2,31,41,32,43,44,30,25,45,43,20,28,31,19,28,32
Dlat,2314,2508,2605,3057,2752,1656,2277,2429,2717,1227,1521,2171,1328,1775,2367
Sdhd,5888,6665,7247,9301,6772,5734,7077,6005,7232,4233,4805,5909,4303,5670,7753
Fgf23,0,0,0,0,0,7,10,11,0,1,15,0,4,2,0
Fgf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccnd2,5588,7268,6077,9682,7608,4145,5023,10371,8609,3838,4223,5680,4558,5489,6146
Gpr107,2131,2309,2469,3058,2578,1937,2596,2488,3006,1762,2100,2114,2284,2090,3052
Nalcn,28,22,33,31,33,43,43,20,47,17,49,21,28,27,41
Btbd17,2,1,0,4,0,5,2,0,0,1,4,1,0,2,3
Slfn4,357,841,393,2055,773,2138,1426,3010,2742,781,708,490,530,676,330
Th,2,1,2,1,1,0,3,1,4,2,1,2,1,3,3
Ins2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scnn1g,22,27,12,16,58,18,33,156,49,16,10,27,110,15,17
Drp2,53,63,56,43,43,67,61,68,59,55,48,34,86,60,70
Tspan32,24,55,18,63,68,45,82,76,27,50,46,33,60,34,58
Lhx2,1,1,2,2,0,2,0,2,0,0,0,0,1,0,3
Clec2g,9,1,2,10,4,0,2,1,3,2,0,2,2,1,10
Gmpr,470,432,547,599,353,237,386,307,335,230,315,277,407,404,639
Glra1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid2,1415,1505,1383,1542,1620,1063,1518,1534,1749,956,1065,1299,1345,1126,1949
Trim25,2929,3590,3235,5308,4274,4418,4876,5097,5559,3031,3239,3717,4061,3174,4394
Dgke,314,327,331,473,280,301,372,291,351,255,278,326,312,275,455
Scpep1,1039,1167,1380,1520,1243,1487,1675,2243,1209,987,1573,1040,1590,1367,1471
Mnt,542,687,644,941,799,857,961,838,806,752,897,621,907,799,1110
Itgb2,198,304,187,370,426,644,839,1398,224,378,553,160,491,420,361
Hddc2,197,284,245,348,241,267,310,255,291,192,235,185,162,287,288
Tpd52l1,236,261,346,345,228,184,180,138,444,149,164,219,106,231,353
Pemt,39,53,70,100,67,52,81,69,100,55,46,40,49,66,96
Cdh1,18448,20793,21818,28171,22451,21731,25172,26009,20435,15161,15856,17920,18420,19284,26249
Cdh4,17,20,13,20,13,5,7,18,33,12,8,14,24,14,23
Ckmt1,23101,27422,25457,37878,28461,15131,23089,22331,21133,12995,11046,13168,19397,17396,30789
Bcl6b,70,79,88,96,70,114,77,88,66,62,106,50,118,76,85
Clec10a,68,54,53,50,75,189,86,306,74,83,173,81,495,99,73
Alox12,24,34,33,41,38,13,22,19,29,17,12,15,31,20,45
Arvcf,204,270,287,243,227,263,258,214,271,247,237,229,279,277,326
Comt,1936,1852,2143,2637,1837,1819,1978,1999,2213,1385,1685,1871,1955,1887,2678
Rtca,719,834,835,1238,918,743,789,849,1165,560,622,763,767,739,971
Dbt,1219,1268,1206,1667,1189,801,942,1013,1295,515,744,1072,475,881,1448
Dazap2,6692,8141,8202,10612,8081,7681,9730,9067,8559,6399,7196,6523,7947,7462,10280
Mcts1,422,521,519,722,431,531,571,556,586,311,448,444,353,473,557
Rem1,108,109,118,97,84,93,98,115,108,81,111,86,128,101,129
Rnf17,5,2,3,3,1,4,4,4,0,6,2,0,1,2,0
Trappc10,2366,2841,2484,3501,3164,1984,2901,3350,3216,1678,1946,2316,1881,2184,2832
Ccm2,564,654,512,818,701,575,793,793,621,492,556,517,567,606,612
Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbrg4,1057,1425,1299,1779,1575,1245,1213,1336,1593,948,1003,1225,789,1104,1637
Tmprss2,11466,12720,9587,13904,13968,8651,16339,17990,10423,7198,8233,7969,9883,9643,10746
Mx1,81,92,49,185,251,183,118,250,191,121,82,82,70,157,83
Fap,69,96,99,104,94,89,72,78,128,89,111,104,114,79,149
Gcg,1519,1862,1715,2364,2160,1580,2330,3727,2698,1462,1579,1665,1457,2007,1949
Ndufa9,2490,2981,3447,4315,3393,2471,2952,2749,3378,1771,2210,2584,1805,2305,3684
Egfl6,3,4,0,0,4,0,3,1,3,5,9,0,12,7,2
Lck,67,119,85,173,138,144,175,190,176,92,99,103,57,112,133
Tssk3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cttnbp2,514,619,482,388,562,252,367,291,471,204,296,370,264,259,506
Galnt1,2757,3127,2923,3814,3219,2821,3768,4024,3319,2275,2782,2777,2806,3151,3312
Myf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mkrn2,588,677,701,829,594,571,699,638,714,419,519,533,519,551,841
Pparg,1216,1686,1938,2188,1914,1574,1559,1330,2863,1364,1175,2218,1051,1536,2334
Raf1,2129,2471,2418,3044,2562,2240,2669,2639,2625,1768,2099,1990,2101,2071,2972
Sept1,80,140,82,194,177,170,259,152,119,144,106,54,113,115,181
Pdgfb,241,239,278,272,216,321,336,363,250,259,363,224,400,325,326
Acvrl1,645,661,802,831,729,731,753,1030,718,607,879,707,1012,775,821
Grasp,178,159,223,224,188,203,243,181,260,181,243,160,226,234,356
Acvr1b,2783,3511,3787,4710,4104,3358,3823,3537,4351,2934,2887,2918,2987,3129,3772
Tom1l2,2047,2063,2130,2463,2429,1824,2248,1821,2656,1844,1788,2083,2494,2136,2725
Gpa33,11524,14298,13893,18570,16220,12669,17441,17784,15346,10988,10772,12195,13751,12780,17272
Zfp385a,206,204,213,216,215,289,265,386,203,224,301,211,417,230,282
Itga5,1583,1196,1313,1666,1298,1364,1185,1886,1144,857,2026,1023,2219,1441,1588
Gabra2,0,2,0,2,1,0,8,1,4,2,1,0,0,0,0
Wdr77,738,1091,909,1213,1195,963,939,1223,1187,635,749,807,465,817,810
Adora3,4,5,11,16,15,26,29,38,12,19,20,5,24,31,7
Atp5f1,8575,9228,10482,12893,10060,7999,9339,8648,10950,5665,6446,8367,6003,7504,10948
Sox9,1652,1805,2113,2824,1767,1587,1480,1666,2029,1136,1109,1419,609,1527,2097
Hnrnpd,2480,3173,3119,4426,2831,3258,3457,3594,3255,2156,2592,2821,2482,3004,3843
Dynlt1c,248,331,286,376,321,369,334,284,386,217,241,266,227,248,272
C1d,955,1110,1079,1511,1055,1215,1510,1310,1166,825,971,924,978,996,1317
Gm2a,1133,1262,1046,1635,1384,1400,2147,2261,1083,959,1225,741,1420,1349,1574
Krit1,694,913,709,947,1030,877,885,1148,936,560,682,779,624,656,800
Clcn4,2315,2717,2883,3153,2983,2137,2811,2861,3360,2047,2305,2357,2304,2474,3299
Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grm6,0,0,0,2,0,3,16,0,0,1,1,0,1,1,1
Sema4f,23,17,19,40,28,38,41,26,16,18,33,13,25,22,28
Hk2,3253,3877,2872,5038,5434,7196,11010,13151,5789,4251,4676,3802,5185,5443,4077
